codigo,placa,linha,latitude,longitude,dataHora,velocidade,id_migracao_trajeto,sentido,trajeto,hodometro,direcao,ignicao
902463,,68,-22.848032,-43.396492,1736878907000,0.0,,ida,68 - BANGU X TERMINAL DEODORO [IDA],8180.5,68,0.0
902481,,67,-22.920281,-43.608055,1737420937000,0.0,,ida,67 - CAMPO GRANDE X TERMINAL DEODORO [IDA],46042.9,168,1.0
902472,,67,-22.855318,-43.492569,1737420941000,0.0,,volta,67 - TERMINAL DEODORO X CAMPO GRANDE [VOLTA],50808.6,261,1.0
902471,,67,-22.853865,-43.384059,1737420949000,8.2,,volta,67 - TERMINAL DEODORO X CAMPO GRANDE [VOLTA],49922.7,109,1.0
902474,,67,-22.860988,-43.507577,1737420921000,29.0,,ida,67 - CAMPO GRANDE X TERMINAL DEODORO [IDA],47805.0,357,1.0
902241,,52,-22.848019,-43.396498,1735565550000,0.0,,ida,52 - T. DEODORO X T. ALVORADA (PARADOR) [IDA],26771.1, ,0.0
902467,,67,-22.920134,-43.608367,1737420649000,0.0,,ida,67 - CAMPO GRANDE X TERMINAL DEODORO [IDA],51136.9,241,0.0
902121,SQX3F57,12,-22.919753,-43.607257,1737415984000,0.0,,ida,12 - PINGO D'AGUA X ALVORADA (EXPRESSO) [IDA],79181.7, ,0.0
902195,,10,-22.972502,-43.401489,1737417691000,0.0,,ida,10 - SANTA CRUZ X ALVORADA (EXPRESSO) [IDA],103708.2, ,0.0
902194,,10,-23.00874,-43.440402,1737420938000,0.0,,ida,10 - SANTA CRUZ X ALVORADA (EXPRESSO) [IDA],121509.9,50,1.0
902199,,25,-23.000746,-43.365864,1737420937000,0.0,,volta,25 - ALVORADA X MATO ALTO (PARADOR) [VOLTA],117763.8, ,1.0
902178,,10,-22.920095,-43.608428,1737419664000,0.0,,ida,10 - SANTA CRUZ X ALVORADA (EXPRESSO) [IDA],106023.3, ,0.0
902186,,10,-22.972239,-43.401388,1737420338000,0.0,,ida,10 - SANTA CRUZ X ALVORADA (EXPRESSO) [IDA],118791.4, ,0.0
902190,,18,-22.919978,-43.681636,1737420930000,0.0,,ida,18 - PONTAL X JARDIM OCEÂNICO (EXPRESSO) [IDA],144063.2,326,1.0
902171,,12,-22.99386,-43.596658,1737420925000,27.6,,volta,12 - ALVORADA X PINGO D'AGUA (EXPRESSO) [VOLTA],1477.5,315,1.0
902198,,10,-22.92039,-43.645168,1737419437000,0.0,,ida,10 - SANTA CRUZ X ALVORADA (EXPRESSO) [IDA],0.0, ,0.0
902368,,61,-22.849014,-43.397929,1737419196000,0.0,,ida,61 - TERMINAL DEODORO X TIG (EXPRESSO) [IDA],43525.8,96,0.0
902218,,20,-23.020646,-43.491686,1737420944000,43.0,,volta,20 - SALVADOR ALLENDE X SANTA CRUZ (EXPRESSO) [VOLTA],110341.6,260,1.0
902323,,51,-22.849915,-43.398137,1737420129000,0.0,,volta,51 - T. RECREIO X T.DEODORO (PARADOR) [VOLTA],41132.9,147,0.0
902457,,68,-22.875133,-43.462444,1737420945000,0.0,,ida,68 - BANGU X TERMINAL DEODORO [IDA],25998.7,181,1.0
902477,,68,-22.853464,-43.384226,1737420722000,0.0,,volta,68 - TERMINAL DEODORO X BANGU [VOLTA],36023.1,303,0.0
902485,,67,-22.888205,-43.521315,1737420943000,27.4,,ida,67 - CAMPO GRANDE X TERMINAL DEODORO [IDA],42693.3,22,1.0
902175,,25,-22.920493,-43.645094,1737419466000,0.0,,ida,25 - MATO ALTO X ALVORADA (PARADOR) [IDA],119985.3, ,0.0
902193,,10,-23.000708,-43.415578,1737420949000,50.1,,ida,10 - SANTA CRUZ X ALVORADA (EXPRESSO) [IDA],118967.8,78,1.0
902200,,12,-23.019817,-43.487753,1737420938000,17.4,,volta,12 - ALVORADA X PINGO D'AGUA (EXPRESSO) [VOLTA],117177.2,268,1.0
902204,,12,-23.006495,-43.553489,1737420944000,59.2,,volta,12 - ALVORADA X PINGO D'AGUA (EXPRESSO) [VOLTA],137059.8,284,1.0
902207,,12,-22.972348,-43.401598,1737419543000,0.0,,ida,12 - PINGO D'AGUA X ALVORADA (EXPRESSO) [IDA],20056.9, ,0.0
902227,,10,-22.969977,-43.628021,1737420948000,54.2,,volta,10 - ALVORADA X SANTA CRUZ (EXPRESSO) [VOLTA],126461.1,258,1.0
902224,,10,-23.001046,-43.3675,1737420408000,0.0,,volta,10 - ALVORADA X SANTA CRUZ (EXPRESSO) [VOLTA],109728.1, ,0.0
902251,,20,-22.919661,-43.607292,1737419395000,0.0,,ida,20 - SANTA CRUZ X SALVADOR ALLENDE (EXPRESSO) [IDA],63242.3,88,0.0
902222,,46,-22.855391,-43.323656,1737420944000,0.0,,volta,46 - ALVORADA X PENHA (EXPRESSO) [VOLTA],129171.3,54,1.0
902209,,10,-22.91711,-43.684426,1737420943000,0.0,,ida,10 - SANTA CRUZ X ALVORADA (EXPRESSO) [IDA],81281.0,165,1.0
902250,,10,-22.919805,-43.645759,1737420934000,0.0,,ida,10 - SANTA CRUZ X ALVORADA (EXPRESSO) [IDA],91907.7, ,1.0
902221,,18,-22.92061,-43.645133,1737419412000,0.0,,ida,18 - PONTAL X JARDIM OCEÂNICO (EXPRESSO) [IDA],95916.6, ,0.0
902217,,20,-22.920911,-43.644968,1737420147000,0.0,,ida,20 - SANTA CRUZ X SALVADOR ALLENDE (EXPRESSO) [IDA],121604.5, ,0.0
902265,,18,-22.920098,-43.608702,1732288083000,0.0,,ida,18 - PONTAL X JARDIM OCEÂNICO (EXPRESSO) [IDA],16481.5,279,0.0
902274,,19,-22.920059,-43.645488,1737420536000,0.0,,ida,19 - PINGO D'AGUA X SALVADOR ALLENDE (EXPRESSO) [IDA],94652.2, ,0.0
902212,,25,-22.92085,-43.645013,1737419293000,0.0,,ida,25 - MATO ALTO X ALVORADA (PARADOR) [IDA],126563.5, ,0.0
902154,SQX3F84,25,-22.920423,-43.608059,1737421203000,0.0,,ida,25 - MATO ALTO X ALVORADA (PARADOR) [IDA],0.0, ,1.0
902211,,12,-23.00097,-43.367051,1737420942000,0.0,,volta,12 - ALVORADA X PINGO D'AGUA (EXPRESSO) [VOLTA],124545.4,82,1.0
902220,,11,-23.007239,-43.550496,1737420944000,58.1,,ida,11 - SANTA CRUZ X ALVORADA (PARADOR) [IDA],126449.4,104,1.0
902219,,10,-22.919898,-43.607524,1737419558000,0.0,,ida,10 - SANTA CRUZ X ALVORADA (EXPRESSO) [IDA],137347.7, ,0.0
902210,,25,-22.919845,-43.607271,1737419414000,0.0,,ida,25 - MATO ALTO X ALVORADA (PARADOR) [IDA],132679.9,93,0.0
902263,,20,-22.916111,-43.629955,1737420936000,0.0,,ida,20 - SANTA CRUZ X SALVADOR ALLENDE (EXPRESSO) [IDA],100293.7,78,1.0
902189,,10,-22.92076,-43.608081,1737417847000,0.0,,ida,10 - SANTA CRUZ X ALVORADA (EXPRESSO) [IDA],106419.9,56,0.0
902208,,25,-23.016877,-43.47561,1737420932000,51.2,,ida,25 - MATO ALTO X ALVORADA (PARADOR) [IDA],125761.4,74,1.0
902202,,10,-22.917338,-43.684265,1737420943000,36.2,,ida,10 - SANTA CRUZ X ALVORADA (EXPRESSO) [IDA],127258.2,163,1.0
902184,,25,-23.004342,-43.562244,1737420936000,57.6,,volta,25 - ALVORADA X MATO ALTO (PARADOR) [VOLTA],69778.2,285,1.0
902206,,11,-23.014506,-43.466505,1737420931000,21.9,,ida,11 - SANTA CRUZ X ALVORADA (PARADOR) [IDA],123391.5,74,1.0
902203,,12,-23.009735,-43.539643,1737420949000,57.9,,ida,12 - PINGO D'AGUA X ALVORADA (EXPRESSO) [IDA],80951.8,124,1.0
902187,,10,-22.917674,-43.684328,1737419881000,0.0,,ida,10 - SANTA CRUZ X ALVORADA (EXPRESSO) [IDA],110566.7, ,0.0
902264,,19,-22.919775,-43.645532,1737420289000,0.0,,ida,19 - PINGO D'AGUA X SALVADOR ALLENDE (EXPRESSO) [IDA],145543.7, ,0.0
902266,,20,-22.920325,-43.606855,1737414051000,0.0,,ida,20 - SANTA CRUZ X SALVADOR ALLENDE (EXPRESSO) [IDA],117887.5, ,0.0
902268,,20,-22.920062,-43.60691,1737321998000,0.0,,ida,20 - SANTA CRUZ X SALVADOR ALLENDE (EXPRESSO) [IDA],93927.7, ,0.0
902271,,0,-22.919991,-43.608425,1735869681000,0.0,,,,135715.5, ,0.0
902286,,10,-22.919986,-43.608265,1737420516000,0.0,,ida,10 - SANTA CRUZ X ALVORADA (EXPRESSO) [IDA],78125.3, ,0.0
902292,,25,-22.920043,-43.645421,1737419846000,0.0,,ida,25 - MATO ALTO X ALVORADA (PARADOR) [IDA],176654.3, ,0.0
902293,,20,-22.969669,-43.626649,1737420934000,50.1,,volta,20 - SALVADOR ALLENDE X SANTA CRUZ (EXPRESSO) [VOLTA],96391.6,258,1.0
902280,,20,-22.919809,-43.607319,1737418412000,0.0,,ida,20 - SANTA CRUZ X SALVADOR ALLENDE (EXPRESSO) [IDA],93333.7,88,0.0
902275,,20,-22.920242,-43.645709,1737420929000,0.0,,ida,20 - SANTA CRUZ X SALVADOR ALLENDE (EXPRESSO) [IDA],43138.0,244,1.0
902261,,19,-22.920031,-43.645673,1737420944000,0.0,,ida,19 - PINGO D'AGUA X SALVADOR ALLENDE (EXPRESSO) [IDA],89913.9, ,1.0
902281,,20,-22.920002,-43.645757,1737420947000,0.0,,ida,20 - SANTA CRUZ X SALVADOR ALLENDE (EXPRESSO) [IDA],94271.4, ,1.0
902252,,10,-23.000989,-43.367666,1737420529000,0.0,,volta,10 - ALVORADA X SANTA CRUZ (EXPRESSO) [VOLTA],89537.3, ,0.0
902277,,20,-22.919704,-43.645547,1737420947000,0.0,,ida,20 - SANTA CRUZ X SALVADOR ALLENDE (EXPRESSO) [IDA],99508.0, ,1.0
902246,,22,-22.92019,-43.645652,1737420936000,0.0,,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],127313.8,48,1.0
902244,,10,-23.012629,-43.459298,1737420932000,23.7,,ida,10 - SANTA CRUZ X ALVORADA (EXPRESSO) [IDA],115808.5,69,1.0
902282,,20,-22.919786,-43.645553,1737420949000,0.0,,ida,20 - SANTA CRUZ X SALVADOR ALLENDE (EXPRESSO) [IDA],96007.6, ,1.0
902258,,20,-22.920069,-43.606923,1737399675000,0.0,,ida,20 - SANTA CRUZ X SALVADOR ALLENDE (EXPRESSO) [IDA],95954.4, ,0.0
902287,,10,-22.919877,-43.645531,1737420370000,0.0,,ida,10 - SANTA CRUZ X ALVORADA (EXPRESSO) [IDA],89914.0, ,0.0
902276,,10,-22.919808,-43.607559,1737419560000,0.0,,ida,10 - SANTA CRUZ X ALVORADA (EXPRESSO) [IDA],103281.6,89,0.0
